accommodates,neighbourhood_cleansed,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,price,room_type,dist_to_cristo_km,price_per_person,price_category,log_price
4,Leblon,-22.98607,-43.22572,1.0,1.0,2.0,3,30,22,550.0,Entire home/apt,4.1066342771641215,137.5,500-1000,6.311734809152915
4,Jardim Botânico,-22.95928,-43.20706,2.0,2.0,2.0,3,15,5,834.0,Entire home/apt,0.8930132861877026,208.5,500-1000,6.727431724850855
4,Jacarepaguá,-22.97196,-43.39034,1.0,1.0,1.0,4,10,11,977.0,Entire home/apt,18.547410238381158,244.25,500-1000,6.885509670034818
2,Catete,-22.92392,-43.17875,2.0,2.0,2.0,2,89,20,500.0,Entire home/apt,4.500065879779873,250.0,300-500,6.2166061010848646
4,Copacabana,-22.98348,-43.18991,1.0,1.0,2.0,3,28,32,540.0,Entire home/apt,4.095675901868914,135.0,500-1000,6.293419278846481
4,Copacabana,-22.97397,-43.1895,1.0,1.0,3.0,4,30,5,613.0,Entire home/apt,3.2626989470880225,153.25,500-1000,6.419994928147142
2,Botafogo,-22.95676,-43.18238,1.5,1.0,1.0,3,30,16,310.0,Private room,2.9294851042254546,155.0,300-500,5.739792912179234
2,Santa Teresa,-22.91816,-43.17814,1.0,1.0,1.0,6,60,5,434.0,Entire home/apt,5.005671720140877,217.0,300-500,6.075346031088684
6,Barra da Tijuca,-23.0107,-43.36937,2.0,3.0,5.0,3,30,15,563.0,Entire home/apt,17.528522792024102,93.83333333333333,500-1000,6.335054251498059
2,Copacabana,-22.98127,-43.19421,1.0,1.0,5.0,3,30,48,289.0,Entire home/apt,3.667003854031386,144.5,200-300,5.66988092298052
4,Santa Teresa,-22.91967,-43.18727,2.0,1.0,2.0,4,7,3,1000.0,Entire home/apt,4.301467870848751,250.0,500-1000,6.90875477931522
3,Copacabana,-22.98083,-43.19607,1.0,1.0,0.0,3,30,39,284.0,Entire home/apt,3.5398915092461114,94.66666666666667,200-300,5.652489180268651
3,Barra da Tijuca,-23.01273,-43.32012,1.0,1.0,2.0,2,360,38,300.0,Entire home/apt,13.102576694119453,100.0,200-300,5.707110264748875
7,Copacabana,-22.97682,-43.19004,3.0,3.0,5.0,4,90,5,672.0,Entire home/apt,3.4736544295822958,96.0,500-1000,6.511745329644728
6,Ipanema,-22.9843413,-43.2003192,2.0,2.0,5.0,2,90,44,1140.0,Entire home/apt,3.7548733194032033,190.0,>1000,7.039660349862076
1,Copacabana,-22.9795,-43.19109,2.5,1.0,2.0,5,28,38,500.0,Private room,3.6561862394101867,500.0,300-500,6.2166061010848646
1,Botafogo,-22.95297,-43.1756,1.0,1.0,1.0,1,60,29,198.0,Private room,3.5754435903161434,198.0,100-200,5.293304824724492
1,Copacabana,-22.96947,-43.18442,2.0,1.0,2.0,1,365,0,300.0,Private room,3.3086147799266037,300.0,200-300,5.707110264748875
2,Ipanema,-22.98471,-43.19562,1.0,0.0,1.0,3,15,35,300.0,Entire home/apt,3.9535934883519155,150.0,200-300,5.707110264748875
2,Copacabana,-22.9812,-43.19545,1.0,1.0,1.0,3,15,28,350.0,Entire home/apt,3.603997638166625,175.0,300-500,5.860786223465865
5,Centro,-22.91367,-43.18617,2.0,3.0,4.0,4,15,5,750.0,Entire home/apt,4.927337428833756,150.0,500-1000,6.621405651764134
4,Copacabana,-22.98331,-43.19137,2.0,3.0,3.0,3,130,16,1157.0,Entire home/apt,4.004287881025589,289.25,>1000,7.05444965813294
2,Santa Teresa,-22.91814,-43.18511,1.0,1.0,2.0,4,180,10,109.0,Entire home/apt,4.566437941979048,54.5,100-200,4.700480365792417
1,Ipanema,-22.98467,-43.19652,1.0,1.0,1.0,2,30,5,188.0,Private room,3.9148716450648444,188.0,100-200,5.241747015059643
6,Ipanema,-22.98518,-43.20673,2.0,2.0,2.0,2,90,3,630.0,Entire home/apt,3.720641091345522,105.0,500-1000,6.447305862541213
3,Curicica,-22.95243,-43.38468,2.0,1.0,1.0,3,90,1,473.0,Private room,17.834683886345406,157.66666666666666,300-500,6.161207321695077
2,Santa Teresa,-22.91783,-43.17791,1.5,1.0,1.0,3,730,19,140.0,Private room,5.048773338520026,70.0,100-200,4.948759890378168
4,Laranjeiras,-22.93639,-43.1844,2.0,2.0,2.0,4,60,3,250.0,Entire home/apt,3.180731715406608,62.5,200-300,5.5254529391317835
2,Engenho Novo,-22.91384,-43.26241,1.0,1.0,1.0,2,90,11,95.0,Private room,6.794807010117137,47.5,<100,4.564348191467836
4,Copacabana,-22.96404,-43.19111,1.0,1.0,2.0,6,90,37,168.0,Entire home/apt,2.400754818371306,42.0,100-200,5.1298987149230735
2,Ipanema,-22.98181,-43.19963,1.0,1.0,1.0,1,60,24,366.0,Private room,3.5070940281619944,183.0,300-500,5.905361848054571
6,Copacabana,-22.96507,-43.19335,3.0,3.0,4.0,3,28,44,800.0,Entire home/apt,2.286457207291589,133.33333333333334,500-1000,6.68586094706836
6,Leme,-22.96037,-43.17039,1.0,1.0,6.0,2,8,2,641.0,Private room,4.213421660936818,106.83333333333333,500-1000,6.464588303689961
2,Copacabana,-22.98157,-43.19184,1.0,1.0,1.0,3,10,41,449.0,Private room,3.812365567382686,224.5,300-500,6.1092475827643655
6,Ipanema,-22.98243,-43.20231,2.0,2.0,3.0,2,120,17,765.0,Entire home/apt,3.4968003603987117,127.5,500-1000,6.641182169740591
4,Ipanema,-22.98308753967285,-43.21414566040039,2.0,2.0,2.0,3,100,32,840.0,Entire home/apt,3.48792407511444,210.0,500-1000,6.734591659972948
3,Leme,-22.96175,-43.17258,1.0,2.0,2.0,2,150,61,225.0,Entire home/apt,4.03409058186156,75.0,200-300,5.420534999272286
4,Copacabana,-22.97407,-43.19393,1.0,1.0,2.0,3,30,61,395.0,Entire home/apt,2.99253471848514,98.75,300-500,5.981414211254481
3,Copacabana,-22.97583,-43.19466,1.0,1.0,2.0,3,90,41,256.0,Entire home/apt,3.1161538346645092,85.33333333333333,200-300,5.54907608489522
2,Laranjeiras,-22.93528,-43.18976,1.0,0.0,1.0,6,365,33,335.0,Entire home/apt,2.8152424543447556,167.5,300-500,5.817111159963204
2,Copacabana,-22.96219,-43.17562,1.0,1.0,1.0,2,30,5,350.0,Private room,3.7501098824776316,175.0,300-500,5.860786223465865
4,Copacabana,-22.97398,-43.18896,1.0,1.0,1.0,3,365,11,149.0,Entire home/apt,3.300221237971074,37.25,100-200,5.0106352940962555
5,Recreio dos Bandeirantes,-23.008813531811075,-43.45037438922006,2.5,2.0,3.0,4,25,51,322.0,Entire home/apt,25.35839369148413,64.4,300-500,5.777652323222656
2,Copacabana,-22.98329,-43.19143,1.0,1.0,2.0,5,30,4,566.0,Private room,3.999346001570713,283.0,500-1000,6.340359303727752
1,Urca,-22.94668,-43.16211,1.0,1.0,1.0,3,28,51,248.0,Private room,4.9887219627013595,248.0,200-300,5.517452896464707
4,Copacabana,-22.96627,-43.18667,2.0,2.0,3.0,3,30,65,390.0,Entire home/apt,2.9165314108127753,97.5,300-500,5.968707559985366
4,Copacabana,-22.97231,-43.18737,2.0,2.0,2.0,3,730,44,550.0,Entire home/apt,3.280044806921733,137.5,500-1000,6.311734809152915
6,Botafogo,-22.942238,-43.176899,3.0,3.0,3.0,2,700,25,622.0,Entire home/apt,3.6044338433197085,103.66666666666667,500-1000,6.434546518787453
5,Copacabana,-22.97995,-43.19024,1.0,1.0,3.0,2,90,51,332.0,Private room,3.7457660534791533,66.4,300-500,5.808142489980444
2,Glória,-22.92443,-43.17214,1.0,1.0,2.0,2,30,29,328.0,Entire home/apt,4.975992359510983,164.0,300-500,5.796057750765372
2,Botafogo,-22.94277,-43.18706,1.0,1.0,1.0,3,30,10,270.0,Entire home/apt,2.6060233458678357,135.0,200-300,5.602118820879701
2,Ipanema,-22.98394,-43.19624,1.0,1.0,1.0,2,170,18,260.0,Private room,3.8502129368327562,130.0,200-300,5.564520407322694
2,Copacabana,-22.98327,-43.19339,2.0,1.0,1.0,5,30,1,453.0,Entire home/apt,3.903327387328799,226.5,300-500,6.118097198041348
6,Copacabana,-22.98569,-43.19197,2.0,2.0,3.0,2,90,22,789.0,Entire home/apt,4.209044870595975,131.5,500-1000,6.672032945461067
5,Copacabana,-22.96956,-43.18495,1.0,1.0,1.0,3,60,0,265.0,Entire home/apt,3.270975704086551,53.0,200-300,5.583496308781699
3,Catete,-22.92773667825409,-43.18048169741034,2.0,1.0,2.0,3,5,5,550.0,Entire home/apt,4.082646016971933,183.33333333333334,500-1000,6.311734809152915
2,Copacabana,-22.97668,-43.19116,1.5,1.0,1.0,1,30,51,199.0,Private room,3.393080461774119,99.5,100-200,5.298317366548036
4,Copacabana,-22.97535,-43.18768,1.0,1.0,2.0,3,99,47,310.0,Entire home/apt,3.501119964395355,77.5,300-500,5.739792912179234
6,Ipanema,-22.98819960856268,-43.1920719487917,2.0,2.0,3.0,2,60,61,671.0,Entire home/apt,4.455485549318871,111.83333333333333,500-1000,6.51025834052315
